classification,Trades,Average PnL,Total PnL,Win Rate (%),Average Trade Size
Extreme Fear,21400,34.53786207897196,739110.24849,37.0607476635514,5349.7318429906545
Extreme Greed,39992,67.89286133909282,2715171.310673,46.49429885977195,3112.2515645629123
Fear,61837,54.2903996254993,3357155.441642,42.07675016575836,7816.109930785776
Greed,50303,42.74355948851957,2150129.272951,38.48279426674354,5736.884375086974
Neutral,37686,34.30771839807886,1292920.67555,39.69909250119408,4782.732661465797
